债券代码_简称_申购代码	发行规模（亿元）	正股代码_简称	正股价_转股价	转股价值	债现价	转股溢价率	中签号发布日_中签率%	上市日期
123041_东财转2_370059	73	300059_东方财富	16.0_15.78	101.3942	132	30.18%	2020-01-15_0.1320190507	2020-02-14
128092_唐人转债_072567	12.428	002567_唐人神	8.29_8.86	93.5666	117	25.04%	2020-01-02_0.0414506941	2020-01-22
128089_麦米转债_072851	6.55	002851_麦格米特	26.13_20.31	128.6558	139.064	8.09%	2019-12-30_0.0160361895	2020-01-21
110063_鹰19转债_733567	18.6	600567_山鹰纸业	3.3_3.3	100	119.78	19.78%	2019-12-17_0.09184936	2020-01-03
123036_先导转债_370450	10	300450_先导智能	48.48_39.15	123.8314	152.073	22.81%	2019-12-13_0.0348628059	2020-01-10
110059_浦发转债_733000	500	600000_浦发银行	11.14_15.05	74.0199	107.46	45.18%	2019-10-30_0.3016799	2019-11-15
113545_金能转债_754113	15	603113_金能科技	10.49_11.55	92.0175	113.24	23.06%	2019-10-16_0.03463477	2019-11-07
128075_远东转债_072406	8.937	002406_远东传动	5.54_5.79	95.6822	116.84	22.11%	2019-09-25_0.0162070033	2019-10-31
113540_南威转债_754636	6.6	603636_南威软件	15.48_10.13	152.8134	153.3	0.32%	2019-07-17_0.06389058	2019-08-05
128070_智能转债_072877	2.3	002877_智能自控	7.95_9.55	83.2461	106.6	28.05%	2019-07-04_0.0250998849	2019-07-23
123028_清水转债_370437	4.9	300437_清水源	11.39_11.95	95.3138	113.235	18.8%	2019-06-21_0.0858156853	2019-07-15
113537_文灿转债_754348	8	603348_文灿股份	25.54_19.93	128.1485	134.87	5.25%	2019-06-12_0.10303528	2019-07-05
128068_和而转债_072402	5.47	002402_和而泰	18.04_9.09	198.2417	0	-34.91%	2019-06-06_0.0829312091	2019-07-01
113535_大业转债_754278	5	603278_大业股份	8.27_12.56	65.8439	102.7	55.97%	2019-05-13_0.03462721	2019-06-03
113026_核能转债_783985	78	601985_中国核电	4.77_6.32	76.9355	107.96	40.33%	2019-04-17_0.03094856	2019-05-08
128062_亚药转债_072370	9.65	002370_亚太药业	7.17_16.3	44.1231	91.723	107.88%	2019-04-04_0.0288420421	2019-04-24
113532_海环转债_754817	4.6	603817_海峡环保	6.2_7.8	80	107.81	34.76%	2019-04-04_0.01665937	2019-04-24
110057_现代转债_733420	16.1594	600420_现代制药	9.77_10.09	97.7978	118.19	20.85%	2019-04-03_0.0356851	2019-04-30
113531_百姓转债_754883	3.27	603883_老百姓	70.33_60.59	117.0411	135.4	15.69%	2019-04-02_0.03312251	2019-04-22
128060_中装转债_072822	5.25	002822_中装建设	10.69_6.24	172.6979	0	-3.53%	2019-03-28_0.0508826699	2019-04-15
127012_招路转债_071965	50	001965_招商公路	7.55_9.34	83.0583	113.5	36.65%	2019-03-26_0.0700271066	2019-04-30
123023_迪森转债_370335	6	300335_迪森股份	5.21_7.39	72.4618	103.62	43%	2019-03-22_0.0215641366	2019-04-16
110053_苏银转债_733919	200	600919_江苏银行	6.62_7.9	87.5661	115.37	31.75%	2019-03-18_0.03898776	2019-04-03
113022_浙商转债_783878	35	601878_浙商证券	10.81_12.53	86.7576	118.52	36.61%	2019-03-14_0.01731003	2019-03-28
113529_绝味转债_754517	10	603517_绝味食品	-_40.52	0	0	0%	2019-03-13_0.00599035	2019-04-02
128057_博彦转债_072649	5.758152	002649_博彦科技	11.76_8.9	133.4847	136.1	1.96%	2019-03-07_0.0511156998	2019-04-02
113021_中信转债_783998	400	601998_中信银行	5.64_7.45	78.1163	110.98	42.07%	2019-03-06_0.01819129	2019-03-19
113528_长城转债_754897	6.34	603897_长城科技	17.65_24.18	73.4499	104.25	41.93%	2019-03-05_0.03760017	2019-03-20
127006_敖东转债_070623	24.13	000623_吉林敖东	16.49_21.12	79.9709	112.28	40.4%	2018-03-15_0.1237646368	2018-05-11
127005_长证转债_070783	50	000783_长江证券	6.8_7.6	91.5209	118.901	29.92%	2018-03-14_0.1239858672	2018-04-11
128036_金农转债_072548	6.5	002548_金新农	8.82_9.72	91.684	117.8	28.48%	2018-03-13_0.0497315872	2018-04-02
113019_玲珑转债_783966	20	601966_玲珑轮胎	23.99_19.1	129.3261	138.35	6.98%	2018-03-05_0.2118095	2018-03-22
110043_无锡转债_733908	30	600908_无锡银行	5.19_8.9	79.6012	109.63	37.72%	2018-02-01_0.18813428	2018-03-14
128034_江银转债_072807	20	002807_江阴银行	4.29_9.16	91.6667	112.35	22.56%	2018-01-30_0.1388860765	2018-02-14
113018_常熟转债_783128	30	601128_常熟银行	-_7.61	0	0	0%	2018-01-23_0.19235421	2018-02-06
128024_宁行转债_072142	100	002142_宁波银行	-_18.45	0	0	0%	2017-12-07_0.0522117418	2018-01-12
